#Simulation Analysis Results CSV File 2019-01-03T11:47:22.820065,,,,
"#Generated on structure: ""frame000000""",,,,
TimeStep,Distance_FAD_C8-FMN_C8,Distance_FMN_C7-Heme_Fe,Rad_Gyration_POR-glob,HBonds_ASL_2D6-POR
52500,27.3009052276611,16.8545227050781,27.4653658430611,14
52650,27.5356693267822,16.9060249328613,27.4081641348491,13
52800,27.4422168731689,17.0408344268799,27.3380513872361,13
52950,27.2100257873535,17.0388317108154,27.2032744465213,15
53100,28.1596355438232,16.9198932647705,27.4614448181746,15
53250,27.8278331756592,16.8037967681885,27.1294600758374,13
53400,27.2049999237061,16.6140251159668,27.2686739874234,13
53550,27.2015037536621,16.665060043335,27.3317753523358,14
53700,27.9784545898437,16.9801845550537,27.4093411023202,14
53850,26.9202289581299,16.7003383636475,27.1767083916264,14
54000,28.1841087341309,17.9020462036133,27.1209377390189,13
54150,27.8515872955322,17.1485404968262,27.0929234096442,13
54300,28.1188259124756,16.7249641418457,27.305886971597,14
54450,27.3092041015625,16.9692897796631,27.2482248531308,13
54600,27.0001487731934,16.8562793731689,27.2610734641729,16
54750,27.9345474243164,17.233814239502,27.2137155169313,15
54900,27.4647274017334,16.6315650939941,27.1566723989391,13
55050,26.76145362854,17.5418014526367,27.1959126380393,13
55200,28.6871967315674,16.7217807769775,27.308660762063,15
55350,27.5819282531738,17.1475772857666,27.3156525098316,12
55500,26.8413963317871,16.6704940795898,27.3396108335992,11
55650,27.8160705566406,16.6466293334961,27.4324081974732,13
55800,28.7196521759033,17.1469879150391,27.115283406672,15
55950,28.274866104126,17.1561050415039,27.2331874527302,13
56100,28.0572929382324,17.0359706878662,27.2462167834851,13
56250,27.6709327697754,17.5520687103271,27.4578526227641,14
56400,26.3624610900879,17.3321399688721,27.4117518795925,13
56550,26.3416862487793,17.4958763122559,27.2714103287304,13
56700,27.7078094482422,17.0954704284668,27.3795955713947,12
56850,28.2432804107666,17.1991634368896,27.0828420832691,14
57000,27.2125244140625,16.9272994995117,27.0129798741752,16
57150,27.9779796600342,17.2460403442383,27.2412979663443,13
57300,26.6523857116699,17.0815162658691,27.0796874724907,13
57450,27.155590057373,17.5202178955078,27.2422009123273,14
57600,27.6523609161377,17.0760593414307,27.1442220519837,13
57750,26.980489730835,17.298412322998,27.0950741754765,15
57900,29.0079669952393,16.5107860565186,27.3744795123514,13
58050,27.9944324493408,17.0729675292969,27.2186026502268,15
58200,28.8579902648926,17.3493576049805,27.1633811745413,10
58350,27.8711338043213,17.0463809967041,27.22407528395,13
58500,28.2709045410156,16.8546733856201,27.2345008192771,15
58650,28.4089412689209,17.0366058349609,27.4587745605316,13
58800,27.8903617858887,16.693489074707,27.2695487007865,15
58950,27.4590148925781,16.3933658599854,27.1057574007381,14
59100,28.1578350067139,16.9433517456055,27.406437794155,13
59250,28.5151138305664,17.0523777008057,27.480770472633,17
59400,28.4772911071777,17.1542453765869,27.390203034034,14
59550,28.0714435577393,16.9829730987549,27.3060719539949,14
59700,26.8169288635254,17.3773403167725,27.4100496353136,14
59850,27.7037372589111,16.6178150177002,27.2411801487342,13
60000,27.0380249023437,16.8159370422363,27.0021838860852,15
60150,27.2921867370605,17.3307857513428,27.2321067307436,14
60300,27.8159866333008,17.513298034668,27.1792481220637,13
60450,27.7084465026855,16.8549156188965,27.3617801806632,15
60600,27.5242290496826,16.9724025726318,27.3222534245388,15
60750,27.1896152496338,17.2744255065918,27.1994508466869,14
60900,27.896785736084,17.4385814666748,27.3580061691108,12
61050,28.4063949584961,17.3500366210938,27.2136752488359,13
61200,26.9111709594727,17.6690006256104,27.2714266353173,12
61350,27.3313159942627,16.6448383331299,27.3769235565391,14
61500,27.9896717071533,17.054859161377,27.2655333717286,15
61650,28.6326770782471,16.688268661499,27.2170139194729,13
61800,28.0084629058838,16.6940822601318,27.5415614019481,12
61950,27.1021747589111,17.7842826843262,27.4362214069602,13
62100,28.4929389953613,16.8873023986816,27.4164776205154,14
62250,28.168384552002,17.0476722717285,27.4804511087853,14
62400,28.6434268951416,16.9682083129883,27.208239695333,13
62550,27.3495960235596,17.149112701416,27.2322936746121,15
62700,28.0634746551514,17.3213005065918,27.2622400048587,14
62850,27.5764503479004,17.7687931060791,27.0791684129657,13
63000,27.7727851867676,17.038610458374,27.0267453606086,13
63150,27.3900337219238,17.7815914154053,26.8902456048361,13
63300,27.416862487793,17.3437023162842,27.0270224805273,15
63450,27.2851524353027,16.9400978088379,26.9069434290087,15
63600,28.5737457275391,16.7174739837646,26.8739901014632,13
63750,27.718542098999,16.9950141906738,27.1070833511406,12
63900,28.1458835601807,16.5013103485107,27.102428386538,13
64050,26.2515125274658,17.620677947998,26.9789139647153,15
64200,27.6465473175049,16.7141151428223,27.1150247617996,13
64350,26.6528930664062,17.0399055480957,26.9685394562301,11
64500,27.3554592132568,16.8288440704346,27.0162094012996,10
64650,28.0769081115723,17.2863311767578,27.1441840163629,10
64800,28.0339756011963,16.9991569519043,27.0764121714897,13
64950,27.3363456726074,17.0777816772461,26.9846978806625,11
65100,27.7280330657959,17.2553005218506,26.9751688934794,12
65250,27.9268970489502,17.0686855316162,26.7566818629924,12
65400,26.5537376403809,17.523717880249,26.956662377983,12
65550,27.13987159729,17.4186534881592,26.9861624230607,12
65700,27.8755130767822,17.0111103057861,26.9112907908804,12
65850,28.3155727386475,17.2002754211426,27.2979678816286,11
66000,28.7578620910645,17.2231769561768,27.2494048783226,12
66150,28.0802898406982,17.4235877990723,27.3483437526579,11
66300,27.7327194213867,17.1242904663086,27.3872641777023,12
66450,27.2203063964844,17.1762466430664,27.2939405022019,13
66600,28.5836772918701,17.0212154388428,27.3795721389249,12
66750,29.1409378051758,17.319580078125,27.2712046857135,12
66900,29.0709915161133,17.4696407318115,27.333199393388,10
67050,27.9908180236816,17.6532344818115,27.4731497030888,13
67200,27.5075435638428,17.7066020965576,27.249864340648,10
67350,27.9651622772217,17.157190322876,27.398134510282,11
67500,28.1732330322266,16.8178310394287,27.343169195695,11
67650,28.4521102905273,17.1417617797852,27.1668187621648,12
67800,28.6172122955322,16.9310607910156,27.432872261453,11
67950,27.8250160217285,17.3525619506836,27.3511821663665,15
68100,28.4280872344971,17.4871120452881,27.2869368440097,11
68250,30.1171932220459,16.9504528045654,27.2447931982836,12
68400,27.5316886901855,16.7692108154297,27.2817909721214,12
68550,27.1602764129639,17.389045715332,27.3114529657691,12
68700,26.8218250274658,17.5924606323242,27.1246067450426,12
68850,29.4210147857666,17.1718196868896,27.2927487447673,11
69000,27.4796352386475,17.0130634307861,27.203494814616,14
69150,27.4209995269775,17.2398376464844,27.1490069411398,12
69300,28.0959510803223,17.20823097229,27.0621636198754,14
69450,27.2535095214844,16.9183082580566,27.0923577934289,12
69600,27.2965354919434,17.0602951049805,27.1884256306412,13
69750,28.3497848510742,17.2335643768311,27.2933964608207,14
